key,en,de,fr,es,en_GB,eo
lexl9,"Wirf diese Münze, indem du sie auf das Spielfeld legst und auf sie drückst. Sie springt dann auf magische Weise zu einer Zutat. Solltest du diese noch nicht aufdecken können, ","Oft wird es dir passieren, dass du schon weißt, wo sich das Flamel befindet und du auf allen Zutaten Level drei erreicht hast. Um dir zu ersparen den ganzen Rest einzeln aufzudecken, gibt es die Lupe. Empfehlenswert für Aufräumarbeiten. 
Die Lupe hat unterschiedliche Modi, schwarz - inaktiv, rot - aktiv, violet – selektiv",,,,
lexr9,"markiere sie ruhig mit dem Flagging Tool. 
Übermäßige Verwendung reduziert deinen Score.

Die Münze meidet markierte Felder, manchmal kann sie aber trotzdem auf einem landen.",,,,,
lexl10,"Modifier sind rundenbezogene Veränderungen, neben der Manipulation zentraler Spielmechaniken, wird auch der Score Multiplikator verändert.
Die meisten Modifier machen das Spiel schwerer und deinen Score höher.
","Wirf diese Münze, indem du sie auf das Spielfeld legst und auf sie drückst. Sie springt dann auf magische Weise zu einer Zutat. Solltest du diese noch nicht aufdecken können, markiere sie ruhig mit dem Flagging Tool. 
Übermäßige Verwendung reduziert deinen Score.",,,,
lexr10,"Falls du dir nicht sicher bist, ob ein Modifier das Spiel leichter oder schwerer macht, schau auf den Einfluss auf den Score.",,,,,
lexl11,,"Modifier sind rundenbezogene Veränderungen, neben der Manipulation zentraler Spielmechaniken, wird auch der Score Multiplikator verändert.
Die meisten Modifier machen das Spiel schwerer und deinen Score höher.
Falls du dir nicht sicher bist, ob ein Modifier das Spiel leichter oder schwerer macht, schau auf den Einfluss auf den Score.",,,,
lexr11,,,,,,
lexl12,,,,,,
lexr12,,,,,,
lexl13,,,,,,
lexr13,,,,,,
lexl14,,,,,,
lexr14,,,,,,
lexl15,,,,,,
lexr15,,,,,,
lexl16,,,,,,
lexr16,,,,,,
lexl17,,,,,,
lexr17,,,,,,
lexl18,,,,,,
lexr18,,,,,,
lexl19,,,,,,
lexr19,,,,,,
lexl20,,,,,,
lexr20,,,,,,
lexl21,,,,,,
lexr21,,,,,,
lexI0,Goal,Ziel,,,,
lexI1,Sanity & Coffee,Mentaler Zustand & Kaffee,,,Sanity ‘n’ Tea,
lexI2,Score,Score,,,,
lexI3,Ingredients,Zutaten,,,,
lexI4,Neighborhood,Nachbarschaft,,,,
lexI5,Hint & Indicator,Hinweis & Indikator,,,,
lexI6,Level,Stufe,,,,
lexI7,Flagging,Markieren,,,,
lexI8,Tool,Werkzeug,,,,
lexI9,Magnifyer,Lupe,,,,
lexI10,Hint Coin,Hinweis Münze,,,,
lexI11,Modifier,Modifier,,,,
lexI12,,,,,,
lexI13,,,,,,
lexI14,,,,,,
lexI15,,,,,,
lexI16,,,,,,
lexI17,,,,,,
lexI18,,,,,,
lexI19,,,,,,
lexI20,,,,,,
lexI21,,,,,,
ttModHEK,[b]Hard Earned Knowledge:[/b] Unlocking higher Ingredient Levels is more difficult!,,,,,
ttModEC,[b]Extreme Cypher:[/b] All Tricks and Tools will be necessary to have a chance!,,,,,
ttModDI,[b]Dense Information:[/b] There will be more Ingredients!,,,,,
ttModLR,[b]Light Reading:[/b] There will be less Ingredients!,,,,,
ttModAA,[b]Advanced Alchemy:[/b] There will be more dangerous Ingredients!,,,,,
ttModBA,[b]Alchemy 101:[/b] There will be less dangerouse Ingredients!,,,,,
ttModDL,[b]Diagonals:[/b] The Neighborhoods will include Diagonals!,,,,,
ttModBS,[b]Broken Sentences:[/b] The Hints will be off by 1!,,,,,
ttModOF,"[b]Only Flamel:[/b] There will only be Flamels, for a more… traditional Sweeping experience!",,,,,
ttModHE,"[b]Herbs:[/b] When active, there will be Herbs among the Ingredients!",,,,,
ttModST,"[b]Salts:[/b] When active, there will be Salts among the Ingredients!",,,,,
ttModFU,"[b]Fungi:[/b] When active, there will be Fungi amongus!",,,,,
lbTut0,"Congratulations! You mastered the basics.
Up next Levels!",,,,,
msgTut00,"Welcome to the Cypher Sweeper Tutorial, in this level you will learn the absolute basics of the gameplay and how to win a game. To start uncover a cell by left clicking it, after closing this message.",,,,,
msgTut01,"Now that you learned a bit about the recipe you are decyfering, you are ready for the more dangerous knowledge, or [b]Ingredients[/b] as we'll call them, but be careful not to touch the [b]Flamel[/b] yet, it has a value of 5.",,,,,
msgTut02,"You have almost complete knowledge over that recipe, all that is left to do is uncover the [b]Flamel[/b] it functions similar to an 8 Ball in billiards.",,,,,
msgTutDmg,"Ouch. Knowledge you haven’t prepared for hurts and you just lost a bit of [b]Sanity[/b]. For now try to avoid that and you will be fine, in the future you probably should look into a recipe for Coffee to take the edge off.",,,,"Ouch. Knowledge you haven’t prepared for hurts and you just lost a bit of [b]Sanity[/b]. For now try to avoid that and you will be fine, in the future you probably should look into a recipe for Tea to take the edge off.",
lbTutFail,"Welp, that wasn’t it, Try Again, …
Or don’t, You don’t owe it to anyone",,,,,
lbTut1,"Congratulations! You mastered Levels.
Up next Types!",,,,,
msgTut10,"In this level you will learn about higher levels of [b]Ingredients[/b], you’ll also encounter mushrooms instead of herbs, but for now you will only have to deal with one kind of [b]Ingredient[/b].",,,,,
msgTut11,"Similar to the basics tutorial, you are now able to uncover your first [b]Ingredients[/b]. But be wary, now there are more advanced, dangerous [b]Ingredients[/b] in the mix. The numbers in the uncovered cells, the [b]Hints[/b], show the combined level of the [b]Ingredients[/b] in neighboring cells.",,,,,
msgTut12,"Now after having gathered more information you are able to uncover the [b]second level[/b] of [b]Ingredients[/b], as you may have noticed, this advancement is also noted with a pleasant sound.",,,,,
msgTut13,"You almost did it, you can now safely uncover all information in this recipe, except for the [b]Flamel[/b] of course, but you hopefully already know where it is and know that it’s the last cell to open.",,,,,
msgTut14,,,,,,
lbTut2,"Congratulations! You mastered Types.
Up next Tools!",,,,,
msgTut20,"In this level you will learn about the different [b]Types[/b] of [b]Ingredients[/b] that you will encounter from now on. We will also introduce an extra gauge, next to the [b]Sanity Meter[/b], you now find the [b]Knowledge Meter[/b]. It shows you which [b]Ingredients[/b] are safe to uncover.",,,,,
msgTut21,"You are now able to safely uncover the first level of %s. There are small symbols in cells that give you a [b]Hint[/b] they show you, which [b]Types[/b] of [b]Ingredients[/b] are present in neighboring cells. Use this information to reveal new knowledge while avoiding danger.",,,,,
msgTut22,"You are now able to safely uncover the first level of all [b]Types[/b] of [b]Ingredients[/b]. The symbols which undoubtedly helped you reach this point will from now on be referred to as [b]Indicators[/b]. The [b]Flamel[/b] isn’t indicated though, so be sure to stay vigilant.",,,,,
msgTut23,"You almost did it, you can now safely uncover all information in… wait a second, this feels too familiar… ok, you know the drill, hopefully there is some kind of shortcut, because, unless you stumble upon the [b]Flamel[/b], there is no way to fail anymore.",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ttShieldPotion,"[b]Shield Potion[/b]
Makes sure you only see harmless stuff, as long as you don’t read on!",,,,,
ttHintPotion,"[b]Hint Potion[/b]
Let’s you throw your coin without the drawbacks!",,,,,
